JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
-0.743950573,-0.87682411,0.251384159,-1,1.544127148,0,4.037863242,1,-1,0.807294653,1
0.807294653,-0.268043312,0.818714271,1,-3.333768267,-4.02254178,0.406586705,-1,-1,-0.110436472,0
-0.110436472,-0.616953467,0.16613078,-1,1.917789387,-1.658154805,2.843864882,1,-1,0.310305991,0
0.310305991,-0.164454844,1.294448951,1,-5.318458944,-7.243614182,0.006850723,-1,-1,-2.012121212,-1
-2.012121212,-2.206860797,0.474103966,-1,8.685195083,-2.569323831,9.129938955,1,-1,0.683647442,1
0.683647442,-0.735967477,0.804206817,1,-0.823462342,-2.192653673,2.823931175,1,1,1.539653956,1
1.539653956,-0.194679139,1.791460833,1,-0.529952371,-1.199360341,1.512973232,1,1,1.558675904,1
1.558675904,-0.032548618,1.917479443,1,-0.287155064,-3.26810708,0.140676655,-1,-1,0.258167516,0
0.258167516,-0.468431979,0.495055599,1,0.220373925,-1.879175947,0.721583196,-1,-1,-1.053619944,-1
-1.053619944,-1.087224055,0.137736638,-1,-0.907956751,-2.462818938,1.131781849,-1,1,0.77857645,1
0.77857645,-0.02222336,1.365371636,1,-2.552076148,-2.552076148,0.648286671,-1,-1,0.021147716,0
0.021147716,-0.548137857,0.229583391,-1,1.794206658,-0.289384529,2.39182431,1,-1,0.903395514,1
0.903395514,-0.023635234,1.070611842,1,-3.175061336,-3.661688685,0.298998356,-1,-1,-0.290634206,0
-0.290634206,-0.348012301,0.657909575,1,-1.163462928,-2.013182404,1.108893324,-1,-1,-0.160430385,0
-0.160430385,-0.412355356,0.445792025,1,-0.295050527,-2.107473928,0.371277939,-1,-1,-0.454021317,0
-0.454021317,-0.530238788,0.403421232,-1,0.152983172,-1.926095021,1.334119555,-1,1,0.330903471,0
0.330903471,-0.222785154,0.340852747,1,0.303771208,-0.805978898,0.901840948,1,1,-0.661476282,-1
-0.661476282,-0.875707894,0.821093502,-1,3.086419753,-3.108164111,3.934207602,1,-1,-0.564121464,-1
-0.564121464,-0.633853288,0.402236184,-1,3.050425399,-2.551020408,3.912952501,1,-1,-2.643751509,-1
-2.643751509,-2.721668352,0.268441801,-1,2.855977152,-0.513022889,7.952529516,1,-1,-2.873344826,-1
-2.873344826,-3.904131412,0.554818161,-1,13.44720315,-2.570823672,14.18443906,1,-1,-0.966339037,-1
-0.966339037,-2.221978531,0.811282328,-1,1.122514432,-3.617281435,4.710245198,1,-1,-4.712957073,-1
-4.712957073,-5.25330798,0.101896935,-1,6.65759549,-0.091041515,9.20489601,1,-1,0.129072617,0
0.129072617,-0.888852678,3.485014022,1,-5.681678734,-7.72370738,1.635297748,-1,-1,5.330109356,1
5.330109356,-0.979599778,6.435675422,1,-1.521066092,-6.992117976,0.187154791,-1,-1,-2.583820085,-1
-2.583820085,-4.369194699,0.73350594,-1,11.30438732,-2.272999163,16.27366323,1,-1,4.511997608,1
4.511997608,-0.422639699,4.879557274,1,-1.064694061,-4.695609194,1.76364516,-1,-1,-3.155036746,-1
-3.155036746,-3.338837183,0.582207121,-1,6.042055889,-3.616590794,8.32419702,1,-1,-1.365117435,-1
-1.365117435,-1.844947466,2.387778079,1,-6.380895221,-9.275415557,1.368129425,-1,-1,-5.091508019,-1
-5.091508019,-5.190285646,1.522998551,-1,-8.472435485,-10.07372801,5.057137984,-1,1,4.629640145,1
4.629640145,-0.724617726,6.020938726,1,3.370070134,-8.372355886,3.969829297,-1,-1,-5.237022619,-1
-5.237022619,-5.284386551,1.164035185,-1,4.163491891,-2.916708938,5.341662768,1,-1,-10.35641125,-1
-10.35641125,-11.52275098,0.62872404,-1,4.994672349,-2.974481004,13.97657718,1,-1,10.42480436,1
10.42480436,-0.505178435,13.00035434,1,2.611771969,-12.53035946,2.878023234,-1,-1,-10.27988953,-1
-10.27988953,-10.3673935,1.722615875,-1,9.286835286,-3.295762821,16.31479791,1,-1,2.758258331,1
2.758258331,-1.924737591,5.452307649,1,1.882287328,-6.630143113,7.860213665,1,1,-4.337928382,-1
-4.337928382,-4.661974652,5.797173535,1,4.742594936,-12.72736511,11.21938586,-1,-1,-0.067493926,0
-0.067493926,-2.573420997,5.40573321,1,-14.89402592,-19.30180796,10.93456439,-1,-1,-2.851558935,-1
-2.851558935,-8.811387745,0.358645756,-1,1.756161749,-4.345206001,14.87611176,1,-1,1.418772345,1
1.418772345,-6.431094945,2.610621393,-1,-10.22919307,-13.6054076,3.55351595,-1,1,10.50011472,1
10.50011472,-0.192438094,10.60279957,1,10.7981333,-2.977911899,17.21649746,1,1,1.693719837,1
1.693719837,-3.955074445,3.670050766,-1,5.570972521,-3.895684546,6.169083241,1,-1,5.980843659,1
5.980843659,-0.363063716,8.940732701,1,-5.634923874,-6.755802932,1.403601114,-1,-1,-4.495328467,-1
-4.495328467,-4.653426447,0.671264501,-1,0.179079531,-0.692335003,4.048524428,1,-1,6.426774197,1
6.426774197,-0.243173076,6.426774197,1,-3.265761281,-6.361077914,0,-1,-1,-2.21597193,-1
